,,,,,,,,,
CHADKINIS&LP : END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
16 Feb 2026,34,103,"845,071","-98,335","4,885","-93,450","101,648","-26,672",SUCCESS
17 Feb 2026,41,98,"864,694","-58,809","1,752","-57,057","78,084","-39,117",SUCCESS
18 Feb 2026,28,88,"725,750","-21,431","4,511","-16,920","107,060","-66,885",SUCCESS
19 Feb 2026,17,80,"1,207,799","-36,871",686,"-36,185","108,910","-79,885",SUCCESS
20 Feb 2026,65,104,"493,294","-17,065","1,888","-15,177","67,252","-53,325",SUCCESS
21 Feb 2026,82,114,"822,760","-116,322","3,881","-112,441","146,999","-32,988",SUCCESS
22 Feb 2026,52,102,"561,643","4,222 ","1,088","5,310 ","78,444","-91,253",SUCCESS
23 Feb 2026,56,102,"830,278","-22,710","4,602","-18,108","98,650","-68,795",SUCCESS
24 Feb 2026,48,84,"296,802","296,802 ","1,867","298,669 ","88,460","-77,167",PENDING
25 Feb 2026,72,109,"419,853","-58,284","1,096","-57,187","110,864","-44,310",PENDING
26 Feb 2026,85,135,"943,348","-60,035","6,570","-53,465","171,734","-69,395",PENDING
27 Feb 2026,,,,,,0 ,,,PENDING
28 Feb 2026,,,,,,0 ,,,PENDING
01 Mar 2026,,,,,,0 ,,,PENDING
02 Mar 2026,,,,,,0 ,,,PENDING
03 Mar 2026,,,,,,0 ,,,PENDING
04 Mar 2026,,,,,,0 ,,,PENDING
05 Mar 2026,,,,,,0 ,,,PENDING
06 Mar 2026,,,,,,0 ,,,PENDING
07 Mar 2026,,,,,,0 ,,,PENDING
08 Mar 2026,,,,,,0 ,,,PENDING
ajheib,TOTAL REGISTER,TOTAL ACTIVE PL,TOTAL VTO,TOTAL GGR,TOTAL FTD BONUS,TOTAL NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,OVERALL STATUS
,"1,826","2,963","23,376,152","-885,049","171,938","-713,111","2,835,734","-1,715,564",88.00%
,,,,,,,,,
PEPPER :  END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
02 Feb 2026,22,55,"304,716",466 ,"4,309","4,775 ","50,830","-26,118",SUCCESS
03 Feb 2026,20,51,"390,659","-17,306","7,827","-9,479","48,029","-86,916",SUCCESS
04 Feb 2026,11,39,"326,396","-38,568","5,180","-33,388","72,623","-22,380",SUCCESS
05 Feb 2026,9,42,"352,063","-63,560","1,498","-62,061","79,386","-37,845",SUCCESS
06 Feb 2026,27,45,"297,295",-727,"2,176","1,449 ","58,532","-38,525",SUCCESS
07 Feb 2026,9,48,"238,734",962 ,152,"1,114 ","49,918","-60,769",SUCCESS
08 Feb 2026,6,27,"160,346","-6,597",100,"-6,497","32,836","-12,280",SUCCESS
09 Feb 2026,3,35,"590,781","-52,894","3,517","-49,376","69,880","-24,794",SUCCESS
10 Feb 2026,6,32,"521,451","-28,488",100,"-28,388","53,491","-15,601",SUCCESS
11 Feb 2026,41,43,"322,121","-28,219","1,425","-26,794","33,612","-17,257",SUCCESS
12 Feb 2026,6,39,"482,317","-27,544",962,"-26,582","58,257","-20,074",SUCCESS
